Date,High,Low
2000-08-01,3.09,2.25
2000-08-08,2.92,2.29
2000-08-15,2.85,2.4
2000-08-22,2.78,2.13
2000-08-29,2.55,1.89
2000-09-05,2.7,1.93
2000-09-12,2.85,2.45
2000-09-19,2.61,2.04
2000-09-26,2.67,2.17
2000-10-03,2.88,2.27
2000-10-10,2.98,2.57
2000-10-17,2.73,2.09
2000-10-24,2.89,2.09
2000-10-31,2.64,1.92
2000-11-07,2.68,1.88
2000-11-14,2.52,2.16
2000-11-21,3.0,2.53
2000-11-28,3.17,2.3
2000-12-05,2.85,2.26
2000-12-12,2.89,2.06
2000-12-19,2.61,1.97
2000-12-26,2.99,2.25
2001-01-02,2.61,2.14
2001-01-09,2.78,1.97
2001-01-16,2.93,2.23
2001-01-23,3.11,2.32
2001-01-30,2.61,2.13
2001-02-06,2.88,2.47
2001-02-13,2.73,2.1
2001-02-20,2.68,1.9
2001-02-27,2.68,2.08
2001-03-06,2.63,2.13
2001-03-13,2.65,2.27
2001-03-20,3.03,2.32
2001-03-27,2.76,2.39
2001-04-03,2.7,1.91
2001-04-10,2.66,1.91
2001-04-17,2.92,2.54
2001-04-24,2.68,2.42
2001-05-01,2.88,2.42
2001-05-08,2.83,2.13
2001-05-15,2.95,2.15
2001-05-22,3.17,2.57
2001-05-29,2.98,2.38
2001-06-05,2.52,1.78
2001-06-12,2.73,2.11
2001-06-19,3.0,2.34
2001-06-26,2.7,2.21
2001-07-03,3.09,2.54
2001-07-10,3.06,2.35
2001-07-17,3.21,2.55
2001-07-24,2.79,2.29
2001-07-31,3.07,2.36
2001-08-07,2.61,2.16
2001-08-14,2.85,2.11
2001-08-21,2.78,2.15
2001-08-28,2.73,2.2
2001-09-04,2.54,1.84
2001-09-11,2.39,1.93
2001-09-18,2.41,1.9
2001-09-25,2.93,2.05
2001-10-02,2.59,2.08
2001-10-09,2.63,2.3
2001-10-16,2.88,2.2
2001-10-23,2.67,2.03
2001-10-30,3.08,2.52
2001-11-06,2.96,2.13
2001-11-13,2.91,2.35
2001-11-20,2.91,2.26
2001-11-27,2.56,1.95
2001-12-04,3.04,2.3
2001-12-11,2.57,1.91
2001-12-18,3.14,2.28
2001-12-25,2.85,2.24
2002-01-01,2.87,2.27
2002-01-08,2.89,2.6
2002-01-15,2.96,2.33
2002-01-22,2.88,2.48
2002-01-29,2.93,2.28
2002-02-05,2.92,2.39
2002-02-12,2.75,2.27
2002-02-19,2.49,1.81
2002-02-26,2.65,2.26
2002-03-05,2.58,2.19
2002-03-12,2.75,2.45
2002-03-19,2.56,2.17
2002-03-26,2.62,2.13
2002-04-02,2.45,2.02
2002-04-09,2.75,2.26
2002-04-16,2.68,1.95
2002-04-23,2.77,2.18
2002-04-30,2.83,1.95
2002-05-07,2.99,2.31
2002-05-14,2.89,2.27
2002-05-21,2.71,2.32
2002-05-28,2.89,2.3
2002-06-04,2.89,2.41
2002-06-11,2.57,1.85
2002-06-18,2.79,2.39
2002-06-25,2.73,2.26
2002-07-02,2.85,2.26
2002-07-09,2.55,1.97
2002-07-16,2.77,2.14
2002-07-23,2.85,2.15
2002-07-30,2.82,2.45
2002-08-06,2.65,2.15
2002-08-13,2.59,1.8
2002-08-20,2.51,1.96
2002-08-27,2.55,2.0
2002-09-03,2.76,2.12
2002-09-10,2.58,1.97
2002-09-17,2.42,2.1
2002-09-24,2.99,2.51
2002-10-01,2.73,1.81
2002-10-08,3.01,2.24
2002-10-15,2.73,2.39
2002-10-22,2.56,2.06
2002-10-29,2.52,1.81
2002-11-05,2.89,2.28
